lat,lon,likelydrum,plant_date
18.488085,79.381093,likely drum seeded,
16.287937,78.451121,Transplanted,12jul2023
16.555488,77.786151,Transplanted,19jun2023
16.642178,78.423893,likely drum seeded,05oct2023
18.318559,79.077962,Transplanted,24jul2023
16.139929,78.198811,likely dry direct,21jul2023
16.686268,77.913036,Transplanted,19jun2023
18.933285,78.685308,likely drum seeded,15jul2023
19.010465,78.986842,Transplanted,07jul2023
18.794388,79.369695,Transplanted,24jul2023
16.317097,78.629818,drum seeded,23jul2023
16.142421,78.195433,Transplanted,01jul2023
16.35199,78.553584,Transplanted,30jul2023
16.871597,78.302955,Transplanted,12aug2023
18.895416,79.142574,Transplanted,
16.953575,78.022428,likely drum seeded,20jun2023
18.786405,79.236761,Likely Transplanted,
16.842406,77.961671,Transplanted,26jun2023
16.557665,78.052533,Transplanted,08jun2023
18.950632,78.629912,Transplanted,13jul2023
18.317852,79.072174,Transplanted,25jul2023
16.138806,78.19897,likely drum seeded,08aug2023
18.880849,78.551214,Transplanted,01jul2023
18.309855,79.212149,Transplanted,
16.378615,77.778752,Transplanted,15jul2023
18.586375,78.948764,Transplanted,20jun2023
16.449905,78.094681,Transplanted,06jul2023
16.171398,77.990666,drum seeded,04aug2023
16.795746,78.520575,Transplanted,17aug2023
16.161552,77.988722,drum seeded,29jun2023
16.796179,78.521036,likely drum seeded,21jul2023
18.813776,79.056584,Transplanted,15jul2023
16.542035,77.97038,Transplanted,11jul2023
18.549508,79.331178,Transplanted,30jul2023
16.527833,78.303371,Transplanted,24aug2023
18.82174,78.57331,Transplanted,19jun2023
16.533231,77.8076,Transplanted,19jul2023
18.321405,79.074778,Transplanted,16jul2023
16.457247,78.565029,Transplanted,21sep2023
18.807388,79.047784,Transplanted,18jun2023
18.848547,78.742688,Transplanted,15jun2023
16.119694,78.270665,likely drum seeded,18jul2023
16.443229,78.719477,Transplanted,02aug2023
16.557958,78.549489,Likely Transplanted,22jul2023
16.636349,77.985651,likely drum seeded,09jul2023
18.83256,79.109296,Transplanted,14jul2023
16.250652,77.919571,Transplanted,10jun2023
18.76617,79.204984,Transplanted,20jun2023
18.712102,78.806371,Likely Transplanted,
16.480631,78.394824,Transplanted,
16.438499,78.696137,likely drum seeded,05jul2023
16.166336,78.140112,likely drum seeded,16jul2023
18.567255,78.955878,Transplanted,23jul2023
16.322867,78.332961,Transplanted,25jul2023
16.578648,78.13118,Transplanted,11jul2023
18.531095,79.06696,Transplanted,
18.208607,79.191593,Transplanted,28jun2023
16.158197,78.11679,drum seeded,15aug2023
18.776624,79.087782,Likely Transplanted,11jul2023
18.488891,79.259302,Transplanted,01jul2023
18.917572,78.719608,Transplanted,
16.948751,78.07314,Transplanted,26jun2023
16.316287,78.182372,Likely Transplanted,01aug2023
16.115933,78.127641,likely drum seeded,21jul2023
18.465278,79.476889,Transplanted,28jun2023
16.750587,77.93568,Transplanted,09jun2023
16.461513,78.736695,Transplanted,07jun2023
16.319981,78.563416,Transplanted,02aug2023
16.679832,77.929749,Transplanted,14sep2023
18.768939,79.085036,Likely Transplanted,08jul2023
18.765523,79.204417,Transplanted,14jun2023
18.617952,78.896127,Transplanted,15jun2023
16.919452,78.023421,Transplanted,26jun2023
18.832634,78.640612,Transplanted,18jul2023
16.31738,78.629918,drum seeded,06aug2023
16.240559,78.087407,likely dry direct,
16.3997,78.533685,likely drum seeded,21may2023
16.52692,78.605896,Transplanted,22jul2023
18.783949,79.208525,Transplanted,09aug2023
16.130489,78.083844,Transplanted,20jul2023
18.322497,79.166988,likely drum seeded,15jun2023
16.223182,78.304269,Transplanted,05aug2023
18.534358,79.071607,Transplanted,28jul2023
18.926649,78.776093,Transplanted,28jul2023
18.446998,79.18784,drum seeded,19jun2023
18.469251,79.472984,Transplanted,20jul2023
16.634257,78.105303,likely drum seeded,14jun2023
18.952507,78.57,Likely Transplanted,
16.443567,78.661317,Transplanted,08aug2023
18.564784,78.973462,Transplanted,22jul2023
18.523708,79.032106,Transplanted,22jul2023
16.549288,78.315717,drum seeded,27jul2023
18.891146,78.711989,Transplanted,30jun2023
18.435045,79.465445,drum seeded,12aug2023
16.572711,78.023406,Transplanted,10jul2023
18.787904,79.157493,likely broadcasted,18jul2023
16.430622,78.107591,drum seeded,22jun2023
16.840222,77.970029,Transplanted,19jun2023
18.888491,79.141413,Transplanted,01aug2023
16.42835,78.101288,drum seeded,11jul2023
16.417022,78.092411,drum seeded,18jul2023
16.188699,78.312293,Transplanted,20jun2023
18.893429,78.721549,likely broadcasted,28jul2023
16.315977,77.984562,likely dry direct,26jul2023
18.51126,78.983703,Transplanted,
18.197853,79.19171,likely drum seeded,20jul2023
18.634228,79.072991,likely drum seeded,25jul2023
18.945552,78.753882,Transplanted,01jul2023
16.276927,78.440488,likely drum seeded,30jul2023
18.347034,79.044801,Transplanted,
18.625873,79.095942,Transplanted,13jul2023
18.237102,79.138398,drum seeded,12jun2023
18.550074,79.330548,Transplanted,16jun2023
18.784103,79.202657,Transplanted,06jul2023
18.474342,79.191028,drum seeded,22may2023
19.01545,79.082749,Transplanted,
16.692198,78.55301,likely drum seeded,16jul2023
18.854468,78.754315,Transplanted,22jul2023
18.87229,78.559363,Transplanted,10jun2023
16.94847,78.079786,Transplanted,25jun2023
18.271405,79.486498,drum seeded,02aug2023
18.506119,78.971949,Transplanted,18jun2023
18.899342,79.138887,drum seeded,
18.486676,79.367539,Transplanted,25jul2023
