district,mandal,panchayat,num,lon,lat,alt,acc,drumseeded,dup,sort_rand,masked_id
"KARIMNAGAR","THIMMAPUR","Mallapur",5,79.212261,18.3098848,217.0969848632813,4.788,0,0,.000083207371,261
"MAHABUBNAGAR","MAHABUBNAGAR RURAL","Machanpalle Tanda",4,77.9357428,16.7505766,459.4999999999999,4.473,0,0,.00038380569,61
"KARIMNAGAR","V.SAIDAPUR","Arepalli",5,79.32094379999999,18.2341033,288.5,3.9,1,0,.00042091028,264
"KARIMNAGAR","GANNERUVARAM","Kasimpeta",7,79.048661,18.3529016,297.1,3.9,0,1,.0011478519,234
"KARIMNAGAR","THIMMAPUR","Parlapally",1,79.210296,18.2777401,295.7,3.9,0,0,.0013276385,262
"JAGTIAL","GOLLAPALLE","Vengalapur",5,79.011117,18.8056877,248,3.9,0,0,.001400692,282
"KARIMNAGAR","CHIGURUMAMIDI","Sundaragiri",1,79.19186500000001,18.2087233,331.9,3.9,0,1,.0015375845,213
"JAGTIAL","IBRAHIMPATNAM","Fakir Kondapur",7,78.62972310000001,18.9507535,261.8,3.9,0,0,.0016745573,291
"JAGTIAL","IBRAHIMPATNAM","Eradandi",1,78.5699517,18.9526417,293.2,3.9,0,1,.0020002588,290
"PEDDAPALLI","MUTHARAM MANTHANI","Mutharam",5,79.6220144,18.504156,167.1,3.133,0,0,.0021178701,354
"MAHABUBNAGAR","MAHABUBNAGAR RURAL","Kodur",4,77.92983820000001,16.6797235,356.398,9.449999999999999,0,0,.0021919091,67
"JAGTIAL","PEGADAPALLE","Yellapur",15,79.1032809,18.6887984,266.9,3.66,0,0,.0023925235,337
"WANAPARTHY","WEEPANAGANDLA","Kalwarala",5,78.1167703,16.1584366,254.878,3.9,1,0,.0030193236,200
"PEDDAPALLI","SULTANABAD","Kandunuripalli",8,79.331402,18.5499938,152,4.558,0,0,.0031557572,361
"NAGARKURNOOL","LINGAL","Ambatpally",5,78.45097850000001,16.2879558,397.5,3.9,0,0,.0032147048,127
"NAGARKURNOOL","VANGOOR","Kondareddipalle",2,78.5768044,16.6381685,375.5877685546875,3.763,0,0,.0032151151,155
"MAHABUBNAGAR","NAWABPET","Pomal",2,78.02219789999999,16.953543,620.7,3.9,1,0,.0035888674,73
"JAGTIAL","RAIKAL","Alipur",10,78.8781745,18.8549041,280.5,3.9,0,0,.0039857118,343
"JAGTIAL","IBRAHIMPATNAM","Ibrahimpatnam",2,78.5824106,18.917974,290.2,3.9,0,0,.0044750455,292
"NAGARKURNOOL","BALMOOR","Kondanagula",4,78.5910624,16.3325683,401.33203125,4.518,0,0,.0046678009,108
"WANAPARTHY","WANAPARTHY","Peddagudem",3,77.9846373,16.3160663,264.6,3.9,0,0,.0048891027,194
"KARIMNAGAR","KARIMNAGAR RURAL","Cherlabuthkur",7,79.2121418,18.4828104,246.3,3.9,1,0,.0056170803,244
"PEDDAPALLI","SULTANABAD","Ramunipalli",2,79.36341640000001,18.4891957,169.7,5.057,0,0,.0056451391,366
"KARIMNAGAR","JAMMIKUNTA","Naguram",1,79.55501,18.4023184,110.9,3.9,1,1,.0059173992,240
"KARIMNAGAR","THIMMAPUR","Parlapally",31,79.2112135,18.2904695,0,1270.12,1,0,.0065818019,263
"JAGTIAL","KATHLAPUR","Sirkonda",4,78.70090279999999,18.7656933,312.9,3.9,0,0,.0067716138,315
"MAHABUBNAGAR","MAHABUBNAGAR RURAL","Oblaipalle",9,77.8860952,16.6718503,338.929,8.298,0,0,.0068815229,62
"KARIMNAGAR","CHIGURUMAMIDI","Sundaragiri",9,79.19196890000001,18.1981692,332.1,3.9,1,0,.0071615842,214
"WANAPARTHY","WEEPANAGANDLA","Bollaram",6,78.1991462,16.1388232,239.97,10.768,1,2,.0073985541,204
"PEDDAPALLI","ODELA","Jeelakunta",6,79.465626,18.434907,171.1999969482422,5.235,1,0,.0079751778,27
"JAGTIAL","Endapalli","Godishelapet",4,79.22822050000001,18.7838548,186.4,3.9,0,0,.0083987108,348
"JAGTIAL","DHARMAPURI","Thimmapoor",6,79.1146643,18.9122286,87,4.671,0,0,.0088257445,271
"PEDDAPALLI","ODELA","Abbidapalli",5,79.47526619999999,18.4659781,139.5269775390625,3.881,0,0,.008964167,12
"WANAPARTHY","WANAPARTHY","Peddagudem",1,77.9846292,16.3159309,337,3.9,1,1,.0093987836,195
"KARIMNAGAR","KOTHAPALLY","Chinthakunta",16,79.0852636,18.4549283,289,2.9,0,1,.0094527602,247
"JAGTIAL","MALLAPUR","Gundam Pally",1,78.71218949999999,18.9200334,297.1,3.9,0,1,.0094755851,323
"JAGTIAL","PEGADAPALLE","Yellapur",13,79.103195,18.688795,263.2,3.9,0,0,.010059715,337
"JAGTIAL","MALLAPUR","Sirpoor",6,78.68533739999999,18.9332194,289.8,3.9,1,0,.010451516,318
"JAGTIAL","BEERPUR","Thungur",3,78.9859879,19.0103315,209.2,3.9,0,0,.010482254,265
"MAHABUBNAGAR","BHOOTHPUR","Sheripally(H)",13,78.0227648,16.6882269,370,6.639,0,2,.011008866,47
"JAGTIAL","KORUTLA","Dharmaram",6,78.72154500000001,18.8932941,278.3,3.9,0,0,.011043311,307
"NAGARKURNOOL","ACHAMPET","Lingotam",8,78.599537,16.409393,447.5,3,1,0,.011659557,85
"NAGARKURNOOL","PEDDAKOTHAPALLE","Peddakarpamula",4,78.39383220000001,16.3026112,328.5023193359375,3.881,0,0,.012241767,132
"KARIMNAGAR","KARIMNAGAR RURAL","Cherlabuthkur",14,79.21174569999999,18.4827951,246.7,3.9,1,2,.013204075,244
"NAGARKURNOOL","VELDANDA","Kotra",1,78.5451983,16.6916833,493.3,3.9,0,3,.013351672,163
