c3_crop_name_kharif,crop_name,varities_grown_khrf,varities_grown_rabi,varities_grown_khrf23,plant_date_kharif,plant_date_rabi,plant_date_sumr,plant_date_kharif23,key,crop_area_kharif23,crop_area_kharif,crop_area_rabi,crop_area_summer
1014,నారుపోసిన పధ్ధతి లో వరి (paddy),1,Cotton Dora Sannalu (MTU 1010),1,13aug2022,04jan2022,,11aug2023,uuid:004735ad-1c6d-40e7-8995-5dd3731b9bce,1.5,1.5,1.5,0
1014,నారుపోసిన పధ్ధతి లో వరి (paddy),,,,,,,,uuid:004735ad-1c6d-40e7-8995-5dd3731b9bce,0,0,0,0
1014,నారుపోసిన పధ్ధతి లో వరి (paddy),12,Cotton Dora Sannalu (MTU 1010),12,12jul2022,10dec2021,,12jul2023,uuid:004d973c-cc36-430d-8cfc-070cd7e9b099,2,2,2,0
1014,నారుపోసిన పధ్ధతి లో వరి (paddy),12,Cotton Dora Sannalu (MTU 1010),12 32,28jun2022,26dec2022,,02jul2023,uuid:00594897-935f-47d0-ae20-ee3abea14cbc,3,3,3,0
1014,నారుపోసిన పధ్ధతి లో వరి (paddy),,,,,,,,uuid:00594897-935f-47d0-ae20-ee3abea14cbc,0,0,0,0
1014,నారుపోసిన పధ్ధతి లో వరి (paddy),,,,,,,,uuid:005e06b8-f768-4ff9-8ac5-966887da8b28,0,0,0,0
1014,నారుపోసిన పధ్ధతి లో వరి (paddy),12,,12,27may2022,,,27jul2023,uuid:005e06b8-f768-4ff9-8ac5-966887da8b28,1.5,1.5,0,0
1014,నారుపోసిన పధ్ధతి లో వరి (paddy),99,Other,17,13jul2022,15dec2022,,12jul2023,uuid:006c787a-a876-4870-aa39-68e44c6ad6f6,3,3,3,0
1014,నారుపోసిన పధ్ధతి లో వరి (paddy),1,Rajendranagar Vari-5 (RNR 29325),1,18jul2023,14dec2022,,19jun2023,uuid:0075cbc6-3a60-4fad-aa9f-b0e5bc2310ce,1.5,1.5,1.5,0
1014,నారుపోసిన పధ్ధతి లో వరి (paddy),99,Other,99,21jun2022,22oct2022,,22jun2023,uuid:007983c4-8594-48ba-b20a-cf07d4f2c7f9,1.075,1.075,1.075,0
